标签名,标签ID,描述,单位,类型
FW.13ALARM,115,@ Ovation Control Builder @,,digital
FW.13ALARM1,116,@ Ovation Control Builder @,,digital
FW.13REALARM,117,@ Ovation Control Builder @,,digital
FW.14ALARM,118,@ Ovation Control Builder @,,digital
FW.14ALARM1,119,@ Ovation Control Builder @,,digital
FW.14REALARM,120,@ Ovation Control Builder @,,digital
FW.15ALARM,121,@ Ovation Control Builder @,,digital
FW.15ALARM1,122,@ Ovation Control Builder @,,digital
FW.15REALARM,123,@ Ovation Control Builder @,,digital
FW.16ALARM,124,@ Ovation Control Builder @,,digital
FW.16ALARM1,125,@ Ovation Control Builder @,,digital
FW.16REALARM,126,@ Ovation Control Builder @,,digital
FW.17ALARM,127,@ Ovation Control Builder @,,digital
FW.17ALARM1,128,@ Ovation Control Builder @,,digital
FW.17REALARM,129,@ Ovation Control Builder @,,digital
FW.18ALARM,130,@ Ovation Control Builder @,,digital
FW.18ALARM1,131,@ Ovation Control Builder @,,digital
FW.18REALARM,132,@ Ovation Control Builder @,,digital
FW.19ALARM,133,@ Ovation Control Builder @,,digital
FW.19ALARM1,134,@ Ovation Control Builder @,,digital
FW.19REALARM,135,@ Ovation Control Builder @,,digital
FW.1ALARM,136,@ Ovation Control Builder @,,digital
FW.1ALARM1,137,@ Ovation Control Builder @,,digital
FW.1ALARM10,138,@ Ovation Control Builder @,,digital
FW.1ALARM11,139,@ Ovation Control Builder @,,digital
FW.1ALARM12,140,@ Ovation Control Builder @,,digital
FW.1ALARM13,141,@ Ovation Control Builder @,,digital
FW.1ALARM14,142,@ Ovation Control Builder @,,digital
FW.1ALARM15,143,@ Ovation Control Builder @,,digital
FW.1ALARM2,144,@ Ovation Control Builder @,,digital
FW.1ALARM3,145,@ Ovation Control Builder @,,digital
FW.1ALARM4,146,@ Ovation Control Builder @,,digital
FW.1ALARM5,147,@ Ovation Control Builder @,,digital
FW.1ALARM6,148,@ Ovation Control Builder @,,digital
FW.1ALARM7,149,@ Ovation Control Builder @,,digital
FW.1ALARM8,150,@ Ovation Control Builder @,,digital
FW.1ALARM9,151,@ Ovation Control Builder @,,digital
FW.1ALSTR,152,1A号雨水提升泵联锁投入,,digital
FW.1BLSTR,153,1B号雨水提升泵联锁投入,,digital
FW.1CLBQG,154,#1超滤泵全关,,digital
FW.1CLBXBY,155,#1超滤步延,,digital
FW.1CLFX_CS,156,#1超滤已运行次数,,float32
FW.1CLFX_CSSDSPO,157,@ Ovation Control Builder @,,float32
FW.1CLFX_PD,158,#1超滤反洗排队,,digital
FW.1CLYX_AUTOM,159,#1超滤运行步序自动,,digital
FW.1CLYX_DONE,160,#1超滤运行步序结束,,digital
FW.1CLYX_FB1,161,#1超滤运行步序反馈1,,digital
FW.1CLYX_FB10,162,#1超滤运行步序反馈10,,digital
FW.1CLYX_FB11,163,#1超滤运行步序反馈11,,digital
FW.1CLYX_FB2,164,#1超滤运行步序反馈2,,digital
FW.1CLYX_FB3,165,#1超滤运行步序反馈3,,digital
FW.1CLYX_FB4,166,#1超滤运行步序反馈4,,digital
FW.1CLYX_FB5,167,#1超滤运行步序反馈5,,digital
FW.1CLYX_FB6,168,#1超滤运行步序反馈6,,digital
FW.1CLYX_FB7,169,#1超滤运行步序反馈7,,digital
FW.1CLYX_FB8,170,#1超滤运行步序反馈8,,digital
FW.1CLYX_FB9,171,#1超滤运行步序反馈9,,digital
FW.1CLYX_JT,172,#1超滤急停,,digital
FW.1CLYX_JTXD,173,@ Ovation Control Builder @,,digital
FW.1CLYX_LP,174,#1超滤运行步序状态点,,int32
FW.1CLYX_MANM,175,#1超滤运行步序手动,,digital
FW.1CLYX_READY,176,@ Ovation Control Builder @,,digital
FW.1CLYX_SEQ1,177,#1超滤运行步序STEP1,,digital
FW.1CLYX_SEQ10,178,#1超滤运行步序STEP10,,digital
FW.1CLYX_SEQ11,179,#1超滤运行步序STEP11,,digital
FW.1CLYX_SEQ2,180,#1超滤运行步序STEP2,,digital
FW.1CLYX_SEQ3,181,#1超滤运行步序STEP3,,digital
FW.1CLYX_SEQ4,182,#1超滤运行步序STEP4,,digital
FW.1CLYX_SEQ5,183,#1超滤运行步序STEP5,,digital
FW.1CLYX_SEQ6,184,#1超滤运行步序STEP6,,digital
FW.1CLYX_SEQ7,185,#1超滤运行步序STEP7,,digital
FW.1CLYX_SEQ8,186,#1超滤运行步序STEP8,,digital
FW.1CLYX_SEQ9,187,#1超滤运行步序STEP9,,digital
FW.1CLYX_SEQGO,188,#1超滤运行步序启动,,digital
FW.1CLYX_SEQNUM,189,#1超滤运行当前步序,,float32
FW.1CLYX_STOP,190,#1超滤运行步序停止,,digital
FW.1CLYX_TZXD,191,@ Ovation Control Builder @,,digital
FW.1CLYXBY,192,#1超滤运行步延,,digital
FW.1CLYXBYTIME,193,#1超滤运行步延时间,,float32
FW.1CLYXFB10TIME,194,#1超滤运行步序10时间,,float32
FW.1CLYXFB10TIMESPO,195,@ Ovation Control Builder @,,float32
FW.1CLYXFB11TIME,196,#1超滤运行步序11时间,,float32
FW.1CLYXFB11TIMESPO,197,@ Ovation Control Builder @,,float32
FW.1CLYXFB1TIME,198,#1超滤运行步序1时间,,float32
FW.1CLYXFB1TIMESPO,199,@ Ovation Control Builder @,,float32
FW.1CLYXFB2TIME,200,#1超滤运行步序2时间,,float32
FW.1CLYXFB2TIMESPO,201,@ Ovation Control Builder @,,float32
FW.1CLYXFB3TIME,202,#1超滤运行步序3时间,,float32
FW.1CLYXFB3TIMESPO,203,@ Ovation Control Builder @,,float32
FW.1CLYXFB4TIME,204,#1超滤运行步序4时间,,float32
FW.1CLYXFB4TIMESPO,205,@ Ovation Control Builder @,,float32
FW.1CLYXFB5TIME,206,#1超滤运行步序5时间,,float32
FW.1CLYXFB5TIMESPO,207,@ Ovation Control Builder @,,float32
FW.1CLYXFB6TIME,208,#1超滤运行步序6时间,,float32
FW.1CLYXFB6TIMESPO,209,@ Ovation Control Builder @,,float32
FW.1CLYXFB7TIME,210,#1超滤运行步序7时间,,float32
FW.1CLYXFB7TIMESPO,211,@ Ovation Control Builder @,,float32
FW.1CLYXFB8TIME,212,#1超滤运行步序8时间,,float32
FW.1CLYXFB8TIMESPO,213,@ Ovation Control Builder @,,float32
FW.1CLYXFB9TIME,214,#1超滤运行步序9时间,,float32
FW.1CLYXFB9TIMESPO,215,@ Ovation Control Builder @,,float32
FW.1CLZQ_J0GCB11AA005_CLOSE,216,#1超滤增强反洗进水门顺控关,,digital
FW.1CLZQ_J0GCB11AA005_OPEN,217,#1超滤增强反洗进水门顺控开,,digital
FW.1CLZQ_J0GCB11AA006_CLOSE,218,#1超滤增强反洗进气门顺控关,,digital
FW.1CLZQ_J0GCB11AA006_OPEN,219,#1超滤增强反洗进气门顺控开,,digital
FW.1CLZQ_J0GCB11AA402_CLOSE,220,#1超滤增强反洗上排门顺控关,,digital
FW.1CLZQ_J0GCB11AA402_OPEN,221,#1超滤增强反洗上排门顺控开,,digital
FW.1CLZQ_J0GCB11AA403_CLOSE,222,#1超滤增强反洗药洗排水门关,,digital
FW.1CLZQ_J0GCB11AA403_OPEN,223,#1超滤增强反洗药洗排水门开,,digital
FW.1CLZQ_J0GCQ11AP001_CLOSE,224,超滤增强反洗加次氯酸泵停,,digital
FW.1CLZQ_J0GCQ11AP001_OPEN,225,超滤增强反洗加次氯酸泵启,,digital
FW.1CLZQ_J0GCQ21AP001_CLOSE,226,超滤增强反洗加酸泵顺控停,,digital
FW.1CLZQ_J0GCQ21AP001_OPEN,227,超滤增强反洗加酸泵顺控启,,digital
FW.1CLZQ_J0GCQ51AP001_CLOSE,228,超滤增强反洗加碱泵顺控停,,digital
FW.1CLZQ_J0GCQ51AP001_OPEN,229,超滤增强反洗加碱泵顺控启,,digital
FW.1CLZQ_JJL_CLOSE,230,超滤增强反洗加碱氯停,,digital
FW.1CLZQ_JJL_OPEN,231,超滤增强反洗加碱氯启,,digital
FW.1CLZQBY,232,#1超滤增强步延,,digital
FW.1CLZQFX_AUTOM,233,#1超滤增强反洗步序自动,,digital
FW.1CLZQFX_DONE,234,#1超滤增强反洗步序结束,,digital
FW.1CLZQFX_FB1,235,#1超滤增强反洗步序反馈1,,digital
FW.1CLZQFX_FB1TIME,236,#1超滤增强反洗步序1时间,,float32
FW.1CLZQFX_FB1TIMESPO,237,@ Ovation Control Builder @,,float32
FW.1CLZQFX_FB2,238,#1超滤增强反洗步序反馈2,,digital
FW.1CLZQFX_FB2TIME,239,#1超滤增强反洗步序2时间,,float32
FW.1CLZQFX_FB2TIMESPO,240,@ Ovation Control Builder @,,float32
FW.1CLZQFX_FB3,241,#1超滤增强反洗步序反馈3,,digital
FW.1CLZQFX_FB3TIME,242,#1超滤增强反洗步序3时间,,float32
FW.1CLZQFX_FB3TIMESPO,243,@ Ovation Control Builder @,,float32
FW.1CLZQFX_FB4,244,#1超滤增强反洗步序反馈4,,digital
FW.1CLZQFX_FB4TIME,245,#1超滤增强反洗步序4时间,,float32
FW.1CLZQFX_FB4TIMESPO,246,@ Ovation Control Builder @,,float32
FW.1CLZQFX_FB5,247,#1超滤增强反洗步序反馈5,,digital
FW.1CLZQFX_FB5TIME,248,#1超滤增强反洗步序5时间,,float32
FW.1CLZQFX_FB5TIMESPO,249,@ Ovation Control Builder @,,float32
FW.1CLZQFX_FB6,250,#1超滤增强反洗步序反馈6,,digital
FW.1CLZQFX_FB6TIME,251,#1超滤增强反洗步序6时间,,float32
FW.1CLZQFX_FB6TIMESPO,252,@ Ovation Control Builder @,,float32
FW.1CLZQFX_JL,253,#1超滤增强反洗加碱氯,,digital
FW.1CLZQFX_JS,254,#1超滤增强反洗加酸,,digital
FW.1CLZQFX_LP,255,#1超滤增强反洗步序状态点,,int32
FW.1CLZQFX_MANM,256,#1超滤增强反洗步序手动,,digital
FW.1CLZQFX_PD,257,#1超滤增强反洗步序排队,,digital
FW.1CLZQFX_QD,258,启动#1超滤增强反洗步序,,digital
FW.1CLZQFX_READY,259,@ Ovation Control Builder @,,digital
FW.1CLZQFX_SEQ1,260,#1超滤增强反洗步序STEP1,,digital
FW.1CLZQFX_SEQ2,261,#1超滤增强反洗步序STEP2,,digital
FW.1CLZQFX_SEQ3,262,#1超滤增强反洗步序STEP3,,digital
FW.1CLZQFX_SEQ4,263,#1超滤增强反洗步序STEP4,,digital
FW.1CLZQFX_SEQ5,264,#1超滤增强反洗步序STEP5,,digital
FW.1CLZQFX_SEQ6,265,#1超滤增强反洗步序STEP6,,digital
FW.1CLZQFX_SEQGO,266,#1超滤增强反洗步序启动,,digital
FW.1CLZQFX_SEQNUM,267,#1超滤增强反洗当前步序,,float32
FW.1CLZQFX_STOP,268,#1超滤增强反洗步序停止,,digital
FW.1CLZQFXBY,269,#1超滤增强反洗步延,,digital
FW.1CLZQFXBYTIME,270,#1超滤增强反洗步延时间,,float32
FW.1EDI_JT,271,#1EDI急停,,digital
FW.1EDI_JTXD,272,@ Ovation Control Builder @,,digital
FW.1EDI_TZ,273,#1EDI运行停止,,digital
FW.1EDI_TZXD,274,@ Ovation Control Builder @,,digital
FW.1EDIBXBY,275,#1EDI步延,,digital
FW.1EDIGF,276,#1EDI急停关阀指令,,digital
FW.1EDIQG,277,#1EDI设备全关,,digital
FW.1EDIYXBY,278,#1EDI运行步延,,digital
FW.1EDIYXBYTIME,279,#1EDI运行步延时间,,float32
FW.1EIFSTBQG,280,@ Ovation Control Builder @,,digital
FW.1EJFST_AUTOM,281,#1二级反渗透运行步序自动,,digital
FW.1EJFST_BYCX,282,@ Ovation Control Builder @,,digital
FW.1EJFST_DONE,283,#1二级反渗透运行步序结束,,digital
FW.1EJFST_FB1,284,#1二级反渗透运行步序反馈1,,digital
FW.1EJFST_FB1TIME,285,#1二级反渗透运行步序1时间,,float32
FW.1EJFST_FB1TIMESPO,286,@ Ovation Control Builder @,,float32
FW.1EJFST_FB2,287,#1二级反渗透运行步序反馈2,,digital
FW.1EJFST_FB2TIME,288,#1二级反渗透运行步序2时间,,float32
FW.1EJFST_FB2TIMESPO,289,@ Ovation Control Builder @,,float32
FW.1EJFST_FB3,290,#1二级反渗透运行步序反馈3,,digital
FW.1EJFST_FB3TIME,291,#1二级反渗透运行步序3时间,,float32
FW.1EJFST_FB3TIMESPO,292,@ Ovation Control Builder @,,float32
FW.1EJFST_FB4,293,#1二级反渗透运行步序反馈4,,digital
FW.1EJFST_FB4TIME,294,#1二级反渗透运行步序4时间,,float32
FW.1EJFST_FB4TIMESPO,295,@ Ovation Control Builder @,,float32
FW.1EJFST_FB5,296,#1二级反渗透运行步序反馈5,,digital
FW.1EJFST_FB5TIME,297,#1二级反渗透运行步序5时间,,float32
FW.1EJFST_FB5TIMESPO,298,@ Ovation Control Builder @,,float32
FW.1EJFST_J0GCF41AA005CP,299,#1二级反渗透冲洗水门顺控关,,digital
FW.1EJFST_J0GCF41AA005OP,300,#1二级反渗透冲洗水门顺控开,,digital
FW.1EJFST_J0GCF41AA401CP,301,#1二级反渗透产水排放门顺控关,,digital
FW.1EJFST_J0GCF41AA401OP,302,#1二级反渗透产水排放门顺控开,,digital
FW.1EJFST_J0GCF41AA402CP,303,#1二级反渗透浓水排放门顺控关,,digital
FW.1EJFST_J0GCF41AA402OP,304,#1二级反渗透浓水排放门顺控开,,digital
FW.1EJFST_J0GCK41AA003CP,305,#1二级反渗透高压泵出水门关,,digital
FW.1EJFST_J0GCK41AA003OP,306,#1二级反渗透高压泵出水门开,,digital
FW.1EJFST_J0GCK41AP001CP,307,#1二级反渗透高压泵顺控停,,digital
FW.1EJFST_J0GCK41AP001OP,308,#1二级反渗透高压泵顺控启,,digital
FW.1EJFST_JT,309,#1二级反渗透急停,,digital
FW.1EJFST_JTXD,310,@ Ovation Control Builder @,,digital
FW.1EJFST_LP,311,#1二级反渗透运行步序状态点,,int32
FW.1EJFST_MANM,312,#1二级反渗透运行步序手动,,digital
FW.1EJFST_READY,313,@ Ovation Control Builder @,,digital
FW.1EJFST_SEQ1,314,#1二级反渗透运行步序STEP1,,digital
FW.1EJFST_SEQ2,315,#1二级反渗透运行步序STEP2,,digital
FW.1EJFST_SEQ3,316,#1二级反渗透运行步序STEP3,,digital
FW.1EJFST_SEQ4,317,#1二级反渗透运行步序STEP4,,digital
FW.1EJFST_SEQ5,318,#1二级反渗透运行步序STEP5,,digital
FW.1EJFST_SEQGO,319,#1二级反渗透运行步序启动,,digital
FW.1EJFST_SEQNUM,320,#1二级反渗透运行当前步序,,float32
FW.1EJFST_STOP,321,#1二级反渗透冲洗停止,,digital
FW.1EJFST_TZ,322,#1二级反渗透停止,,digital
FW.1EJFST_TZXD,323,@ Ovation Control Builder @,,digital
FW.1EJFST_YLKGDZ,324,#1二级反渗透压力动作,,digital
FW.1EJFSTBXBY,325,#1二级反渗透步延,,digital
FW.1EJFSTFX_PD,326,#1二级反渗透冲洗排队,,digital
FW.1EJFSTQG,327,#1二级反渗透设备全关,,digital
FW.1EJFSTYXBY,328,#1二级反渗透运行步延,,digital
FW.1EJFSTYXBYTIME,329,#1二级反渗透运行步延时间,,float32
FW.1FK1,330,@ Ovation Control Builder @,,digital
FW.1JFYHSJJ_AUTOM,331,#1加非氧化性杀菌剂步序自动,,digital
FW.1JFYHSJJ_BQG,332,@ Ovation Control Builder @,,digital
FW.1JFYHSJJ_DONE,333,#1加非氧化性杀菌剂步序结束,,digital
FW.1JFYHSJJ_FB1,334,#1加非氧化性杀菌剂步序反馈1,,digital
FW.1JFYHSJJ_FB1TIME,335,加非氧化性杀菌剂步序反馈1时间,,float32
FW.1JFYHSJJ_FB1TIMESPO,336,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_FB2,337,#1加非氧化性杀菌剂步序反馈2,,digital
FW.1JFYHSJJ_FB2TIME,338,加非氧化性杀菌剂步序反馈2时间,,float32
FW.1JFYHSJJ_FB2TIMESPO,339,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_FB3,340,#1加非氧化性杀菌剂步序反馈3,,digital
FW.1JFYHSJJ_FB3TIME,341,加非氧化性杀菌剂步序反馈3时间,,float32
FW.1JFYHSJJ_FB3TIMESPO,342,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_FB4,343,#1加非氧化性杀菌剂步序反馈4,,digital
FW.1JFYHSJJ_FB4TIME,344,加非氧化性杀菌剂步序反馈4时间,,float32
FW.1JFYHSJJ_FB4TIMESPO,345,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_FB5,346,#1加非氧化性杀菌剂步序反馈5,,digital
FW.1JFYHSJJ_FB5TIME,347,加非氧化性杀菌剂步序反馈5时间,,float32
FW.1JFYHSJJ_FB5TIMESPO,348,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_FB6,349,#1加非氧化性杀菌剂步序反馈6,,digital
FW.1JFYHSJJ_FB6TIME,350,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_FB6TIMESPO,351,@ Ovation Control Builder @,,float32
FW.1JFYHSJJ_JT,352,#1加非氧化性杀菌剂急停,,digital
FW.1JFYHSJJ_JTXD,353,@ Ovation Control Builder @,,digital
FW.1JFYHSJJ_LP,354,#1加非氧化性杀菌剂步序状态点,,int32
FW.1JFYHSJJ_MANM,355,#1加非氧化性杀菌剂步序手动,,digital
FW.1JFYHSJJ_READY,356,@ Ovation Control Builder @,,digital
FW.1JFYHSJJ_SEQ1,357,#1加非氧化性杀菌剂Step1,,digital
FW.1JFYHSJJ_SEQ2,358,#1加非氧化性杀菌剂Step2,,digital
FW.1JFYHSJJ_SEQ3,359,#1加非氧化性杀菌剂Step3,,digital
FW.1JFYHSJJ_SEQ4,360,#1加非氧化性杀菌剂Step4,,digital
FW.1JFYHSJJ_SEQ5,361,#1加非氧化性杀菌剂Step5,,digital
FW.1JFYHSJJ_SEQ6,362,@ Ovation Control Builder @,,digital
FW.1JFYHSJJ_SEQGO,363,#1加非氧化性杀菌剂步序启动,,digital
FW.1JFYHSJJ_SEQNUM,364,#1加非氧化性杀菌剂当前步序,,float32
FW.1JFYHSJJ_STOP,365,#1加非氧化性杀菌剂步序停止,,digital
FW.1JFYHSJJBY,366,#1加非氧化杀菌剂步延,,digital
FW.1JFYHSJJFX_PD,367,#1加非氧化性杀菌剂步序排队,,digital
FW.1JFYHSJJQG,368,#1加非氧化性杀菌剂全关,,digital
FW.1JFYHSJJYXBY,369,#1加非氧化杀菌剂运行步延,,digital
FW.1JFYHSJJYXBYTIME,370,#1加非氧化杀菌剂步延时间,,float32
FW.1JJ,371,1套设备使用加碱泵,,digital
FW.1JSKPWB_LSTR,372,#1集水坑排污泵连锁投入,,digital
FW.1KQCXZLLC_AUTOM,373,#1空气擦洗重力滤池步序自动,,digital
FW.1KQCXZLLC_DONE,374,#1空气擦洗重力滤池步序结束,,digital
FW.1KQCXZLLC_FB1,375,#1空气擦洗重力滤池反馈1,,digital
FW.1KQCXZLLC_FB1TIME,376,#1空气擦洗重力滤池反馈1时间,,float32
FW.1KQCXZLLC_FB1TIMESPO,377,@ Ovation Control Builder @,,float32
FW.1KQCXZLLC_FB2,378,#1空气擦洗重力滤池反馈2,,digital
FW.1KQCXZLLC_FB2TIME,379,#1空气擦洗重力滤池反馈2时间,,float32
FW.1KQCXZLLC_FB2TIMESPO,380,@ Ovation Control Builder @,,float32
FW.1KQCXZLLC_FB3,381,#1空气擦洗重力滤池反馈3,,digital
FW.1KQCXZLLC_FB3TIME,382,#1空气擦洗重力滤池反馈3时间,,float32
FW.1KQCXZLLC_FB3TIMESPO,383,@ Ovation Control Builder @,,float32
FW.1KQCXZLLC_FB4,384,#1空气擦洗重力滤池反馈4,,digital
FW.1KQCXZLLC_FB4TIME,385,#1空气擦洗重力滤池反馈4时间,,float32
FW.1KQCXZLLC_FB4TIMESPO,386,@ Ovation Control Builder @,,float32
FW.1KQCXZLLC_FB5,387,#1空气擦洗重力滤池反馈5,,digital
